"118";"greenisgo";"0";"577";"0";"0";"0";"10";"75";"0";"483";"0";"168.811764705882";"jp";;
"119";"ViolaHornsby";"127";"0";"0";"0";"0";"0";"0";"0";"568";"0";"160.411764705882";"It";"Fr";"De"
"139";"pbadger";"0";"0";"0";"0";"0";"0";"20";"0";"0";"0";"4";"jp";;
"120";"modis151";"0";"0";"0";"0";"347";"0";"0";"0";"0";"0";"31.5454545454545";"fr";;
"121";"hurhurhur";"60";"0";"0";"0";"0";"0";"0";"0";"0";"0";"60";"fr";"la";
"122";"momonigiri";"0";"0";"0";"0";"0";"0";"0";"0";"120";"0";"7.05882352941176";"jp";;
"123";"Joe_g_Robertson";"54";"404";"0";"0";"0";"0";"0";"0";"0";"0";"134.8";"jp";;
"124";"ta132";"864";"3188";"32.14";"0";"626";"0";"1002";"20";"21059";"0";"3024.20470588235";"jp";;
"125";"Quarkles01";"0";"1235";"4";"0";"0";"0";"0";"0";"0";"0";"251";"jp";;
"126";"bokusenou";"200";"0";"10";"0";"0";"0";"0";"0";"0";"0";"210";"jp";;
"127";"hyrulehippie";"144";"0";"26";"0";"22345";"0";"0";"0";"0";"0";"1287.25";"jp";;
"137";"IvanMeredith";"0";"109";"10";"0";"0";"0";"0";"0";"0";"0";"31.8";"jp";;
"128";"Doctor_Dunlap";"385";"0";"0";"0";"0";"0";"300";"122";"1050";"0";"628.764705882353";"jp";;
"129";"loewachan";"860";"0";"0";"0";"0";"0";"0";"0";"0";"0";"860";"en";;
"130";"goblintusk";"0";"398";"6";"0";"0";"0";"0";"0";"0";"0";"84.6";"jp";;
"131";"risasun39";"0";"0";"0";"0";"0";"0";"0";"0";"40";"0";"2.35294117647059";"jp";;
"132";"captal07";"147";"0";"18";"0";"731";"0";"0";"0";"0";"0";"201.55";"jp";;
"133";"kassvea";"1110.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1110.5";"fr";;
"134";"ararara_";"0";"0";"5";"0";"0";"0";"0";"0";"937";"0";"60.1176470588235";"jp";;
"135";"SteffenFeuer";"0";"542";"0";"0";"0";"0";"0";"0";"0";"0";"108.4";"jp";;
"136";"loolnashi";"31";"2543";"0";"0";"15300";"0";"345";"0";"0";"0";"1373.6";"jp";;
