"161";"LawlCarl";"1264";"0";"0";"0";"81";"0";"0";"33";"43";"0";"1323.02679425837"
"162";"Zyaga";"0";"512";"0";"0";"0";"0";"0";"0";"0";"0";"102.4"
"163";"tekcopocket";"69";"6414";"96";"0";"0";"0";"185";"10";"231";"0";"1553.18823529412"
"164";"gboschen";"249.5";"467";"5.5";"0";"0";"0";"0";"0";"481";"0";"376.694117647058"
"165";"NoraBahasa";"350";"0";"0";"0";"0";"0";"0";"0";"345";"0";"371.5625"
"166";"JPP4";"8551.5";"0";"186";"0";"0";"0";"0";"9";"2174";"0";"8874.38235294118"
"167";"f_splendor";"1201";"0";"0";"0";"0";"0";"0";"0";"30";"0";"1202.30434782609"
"168";"Jairzinho19";"0";"428";"0";"0";"0";"0";"0";"0";"0";"0";"85.6"
"169";"Kissemizz";"62";"0";"0";"0";"0";"0";"0";"0";"0";"0";"62"
"170";"amy_burr";"17";"0";"0";"0";"0";"0";"0";"0";"60";"0";"19.6086956521739"
"171";"RaquelLuvBooks";"10367";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10367"
"172";"AnyaPop";"4932.06";"0";"44";"0";"0";"0";"0";"25";"1099";"0";"5127.38126696832"
"173";"hjordisa";"0";"98";"0";"0";"0";"0";"0";"0";"0";"0";"19.6"
"174";"AjarnPasa";"88";"206";"0";"0";"0";"0";"0";"0";"246";"0";"139.895652173913"
"175";"nerxs";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"176";"lavinia_dinu";"5183";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5183"
"177";"Hussien_Liban";"137";"0";"0";"0";"165";"0";"0";"31";"233";"0";"192.734117647059"
"178";"Pandakittynya";"146";"483";"0";"0";"0";"0";"0";"0";"1713";"0";"343.364705882353"
"179";"Rachael_nl";"169.5";"0";"111";"0";"0";"0";"123";"639";"238";"0";"1002.23333333333"
"180";"Amasugiya";"305";"875";"0";"0";"0";"0";"78";"1";"302";"0";"529.530434782609"
"181";"hippaforalkus";"379";"0";"0";"0";"0";"0";"0";"0";"0";"0";"379"
"182";"WelcomeGhosts";"0";"27";"0";"0";"0";"0";"0";"0";"82";"0";"10.2235294117647"
"183";"michimarzo";"203";"134";"0";"0";"0";"0";"0";"0";"0";"0";"229.8"
"184";"ChuckSmith";"113";"0";"0";"0";"0";"0";"0";"0";"0";"0";"113"
"185";"ltcooper";"48";"0";"0";"0";"0";"0";"0";"0";"26";"0";"49.5294117647059"
"186";"modis151";"25";"0";"134";"0";"985";"0";"949";"0";"20";"0";"439.521925133689"
"187";"tricours";"925.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"925.5"
"188";"ALxPlaying";"0";"219";"8";"0";"5287";"0";"0";"0";"982";"0";"590.201069518717"
"189";"Sakuyan";"342.5";"2055";"0";"0";"0";"0";"0";"0";"0";"0";"753.5"
"190";"tzck";"1767";"0";"100";"0";"0";"0";"0";"0";"0";"0";"1867"
"191";"Fujiwara23";"3887";"6415";"0";"0";"0";"0";"0";"0";"0";"0";"5170"
"192";"yoshi1225us";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"193";"CultureQuirk";"0";"4976.5";"0";"0";"0";"12";"601";"0";"400";"0";"1151.02941176471"
"194";"_flyver";"170";"0";"5";"0";"0";"3";"0";"0";"41";"0";"179.782608695652"
"195";"relet";"205";"0";"0";"0";"0";"0";"0";"0";"0";"0";"205"
"196";"dmaddock1";"161";"0";"0";"0";"0";"0";"0";"0";"0";"0";"161"
"197";"tubatime1010";"402";"113";"0";"0";"0";"0";"458";"0";"623";"0";"552.847058823529"
